date,type,category,keyword,value
2021-01-06,daily,Business,Jack Dorsey quits,0.1
2021-01-06,daily,"Violence, war",Nagaland Killings,0.1
2021-01-06,daily,Sports,IPL Auction,0.327546296296296
2021-01-06,daily,Business,Pandora Papers,0.1
2021-01-06,daily,Sports,India vs South Africa,0.290277777777778
2021-01-06,daily,Sports,Eurocup,0.1
2021-01-06,daily,Health,COVID Vaccine,2.33059523809524
2021-01-06,daily,Business,Elon Musk,0.469285714285714
2021-01-06,daily,Entertainment,Vicky Kaushal,0.234642857142857
2021-01-06,daily,Sports,bajrang Punia,0.1
2021-01-06,daily,Sports,P V Sindhu,0.1
2021-01-06,daily,Sports,Sushil Kumar,0.1
2021-01-06,daily,Sports,Paralympics,0.1
2021-01-06,daily,Sports,IPL,2.46190476190476
2021-01-06,daily,Entertainment,Shershaah,0.1
2021-01-06,daily,Entertainment,Sooryavanshi,0.121904761904762
2021-01-06,daily,Entertainment,Drishyam 2,0.14
2021-01-06,daily,health,Bird Flu,2.38333333333333
2021-01-06,daily,Sports,Copa America,0.1
2021-01-06,daily,Sports,Wimbledon,0.1
2021-01-06,daily,Sports,English Premier League,0.277045255008381
2021-01-07,daily,Sports,T20 World Cup,0.200808080808081
2021-01-07,daily,Health,Omicron,0.1
2021-01-07,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-07,daily,"Festival, Days",Independence Day,0.237575757575758
2021-01-07,daily,Business,Zomato IPO,0.1
2021-01-07,daily,Business,PayTM IPO,0.1
2021-01-07,daily,Business,nykaa IPO,0.1
2021-01-07,daily,Elections,West Bengal Election,0.121728855721393
2021-01-07,daily,Health,coronavirus,10.2005555555556
2021-01-07,daily,World,Taliban,0.1
2021-01-07,daily,Governance,Air India Divestment,0.1
2021-01-07,daily,Sports,Neeraj Chopra,0.1
2021-01-07,daily,Entertainment,Raj Kundra,0.1
2021-01-07,daily,"Violence, war",Myanmar coup,0.1
2021-01-07,daily,Business,NFT,0.1
2021-01-07,daily,Politics,Farmers Protest,0.591025641025641
2021-01-07,daily,Entertainment,Miss Universe,0.119618441971383
2021-01-07,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-07,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-07,daily,Tragedy,Cyclone Yaas,0.1
2021-01-07,daily,Tragedy,Cyclone Gulab,0.1
2021-01-07,daily,Tragedy,Cyclone Jawad,0.1
2021-01-07,daily,Politics,Pegasus,0.1
2021-01-07,daily,Entertainment,Aryan Khan,0.1
2021-01-07,daily,Elections,UP Election,0.303235779478098
2021-01-07,daily,Politics,Bulli Bai app,0.1
2021-01-07,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-07,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-07,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-07,daily,Tragedy,Uttarakhand flood,0.1
2021-01-07,daily,Elections,KMC Election 2021 Results,0.1
2021-01-07,daily,Politics,Panama Papers,0.1
2021-01-07,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-07,daily,Sports,Novak Djokovic,0.1
2021-01-07,daily,World,Suez Canal Crisis,0.1
2021-01-07,daily,Business,cryptocurrency,0.49851733348002
2021-01-07,daily,"Festival, Days",Kumbh Mela,0.16291513957888
2021-01-07,daily,Sports,Tokyo Olympics,0.1
2021-01-07,daily,health,Delta variant,0.1
2021-01-07,daily,Business,Jack Dorsey quits,0.1
2021-01-07,daily,"Violence, war",Nagaland Killings,0.1
2021-01-07,daily,Sports,IPL Auction,0.334953703703704
2021-01-07,daily,Business,Pandora Papers,0.1
2021-01-07,daily,Sports,India vs South Africa,0.403611111111111
2021-01-07,daily,Sports,Eurocup,0.1
2021-01-07,daily,Health,COVID Vaccine,2.07345238095238
2021-01-07,daily,Business,Elon Musk,1.38357142857143
2021-01-07,daily,Entertainment,Vicky Kaushal,0.234642857142857
2021-01-07,daily,Sports,bajrang Punia,0.1
2021-01-07,daily,Sports,P V Sindhu,0.1
2021-01-07,daily,Sports,Sushil Kumar,0.1
2021-01-07,daily,Sports,Paralympics,0.1
2021-01-07,daily,Sports,IPL,2.49523809523809
2021-01-07,daily,Entertainment,Shershaah,0.1
2021-01-07,daily,Entertainment,Sooryavanshi,0.135238095238095
2021-01-07,daily,Entertainment,Drishyam 2,0.126666666666667
2021-01-07,daily,health,Bird Flu,3.12333333333333
2021-01-07,daily,Sports,Copa America,0.1
2021-01-07,daily,Sports,Wimbledon,0.1
2021-01-07,daily,Sports,English Premier League,0.187954345917472
2021-01-08,daily,Sports,T20 World Cup,0.177171717171717
2021-01-08,daily,Health,Omicron,0.1
2021-01-08,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-08,daily,"Festival, Days",Independence Day,0.252121212121212
2021-01-08,daily,Business,Zomato IPO,0.1
2021-01-08,daily,Business,PayTM IPO,0.1
2021-01-08,daily,Business,nykaa IPO,0.1
2021-01-08,daily,Elections,West Bengal Election,0.13639552238806
2021-01-08,daily,Health,coronavirus,9.46166666666667
2021-01-08,daily,World,Taliban,0.102222222222222
2021-01-08,daily,Governance,Air India Divestment,0.1
2021-01-08,daily,Sports,Neeraj Chopra,0.1
2021-01-08,daily,Entertainment,Raj Kundra,0.1
2021-01-08,daily,"Violence, war",Myanmar coup,0.1
2021-01-08,daily,Business,NFT,0.1
2021-01-08,daily,Politics,Farmers Protest,0.616783216783217
2021-01-08,daily,Entertainment,Miss Universe,0.104324324324324
2021-01-08,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-08,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-08,daily,Tragedy,Cyclone Yaas,0.1
2021-01-08,daily,Tragedy,Cyclone Gulab,0.1
2021-01-08,daily,Tragedy,Cyclone Jawad,0.1
2021-01-08,daily,Politics,Pegasus,0.101333333333333
2021-01-08,daily,Entertainment,Aryan Khan,0.1
2021-01-08,daily,Elections,UP Election,0.274765191242803
2021-01-08,daily,Politics,Bulli Bai app,0.1
2021-01-08,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-08,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-08,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-08,daily,Tragedy,Uttarakhand flood,0.1
2021-01-08,daily,Elections,KMC Election 2021 Results,0.1
2021-01-08,daily,Politics,Panama Papers,0.1
2021-01-08,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-08,daily,Sports,Novak Djokovic,0.1
2021-01-08,daily,World,Suez Canal Crisis,0.1
2021-01-08,daily,Business,cryptocurrency,0.491850666813354
2021-01-08,daily,"Festival, Days",Kumbh Mela,0.149973963108292
2021-01-08,daily,Sports,Tokyo Olympics,0.1
2021-01-08,daily,health,Delta variant,0.1
2021-01-08,daily,Business,Jack Dorsey quits,0.1
2021-01-08,daily,"Violence, war",Nagaland Killings,0.1
2021-01-08,daily,Sports,IPL Auction,0.322361111111111
2021-01-08,daily,Business,Pandora Papers,0.1
2021-01-08,daily,Sports,India vs South Africa,0.417685185185185
2021-01-08,daily,Sports,Eurocup,0.1
2021-01-08,daily,Health,COVID Vaccine,1.6572619047619
2021-01-08,daily,Business,Elon Musk,2.61690476190476
2021-01-08,daily,Entertainment,Vicky Kaushal,0.183214285714286
2021-01-08,daily,Sports,bajrang Punia,0.1
2021-01-08,daily,Sports,P V Sindhu,0.1
2021-01-08,daily,Sports,Sushil Kumar,0.1
2021-01-08,daily,Sports,Paralympics,0.1
2021-01-08,daily,Sports,IPL,2.62857142857143
2021-01-08,daily,Entertainment,Shershaah,0.1
2021-01-08,daily,Entertainment,Sooryavanshi,0.121904761904762
2021-01-08,daily,Entertainment,Drishyam 2,0.113333333333333
2021-01-08,daily,health,Bird Flu,3.74058823529412
2021-01-08,daily,Sports,Copa America,0.1
2021-01-08,daily,Sports,Wimbledon,0.1
2021-01-08,daily,Sports,English Premier League,0.11089552238806
2021-01-09,daily,Sports,T20 World Cup,0.187171717171717
2021-01-09,daily,Health,Omicron,0.1
2021-01-09,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-09,daily,"Festival, Days",Independence Day,0.287121212121212
2021-01-09,daily,Business,Zomato IPO,0.1
2021-01-09,daily,Business,PayTM IPO,0.1
2021-01-09,daily,Business,nykaa IPO,0.1
2021-01-09,daily,Elections,West Bengal Election,0.144590909090909
2021-01-09,daily,Health,coronavirus,9.46523809523809
2021-01-09,daily,World,Taliban,0.102222222222222
2021-01-09,daily,Governance,Air India Divestment,0.1
2021-01-09,daily,Sports,Neeraj Chopra,0.1
2021-01-09,daily,Entertainment,Raj Kundra,0.1
2021-01-09,daily,"Violence, war",Myanmar coup,0.1
2021-01-09,daily,Business,NFT,0.1
2021-01-09,daily,Politics,Farmers Protest,0.546076146076146
2021-01-09,daily,Entertainment,Miss Universe,0.104324324324324
2021-01-09,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-09,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-09,daily,Tragedy,Cyclone Yaas,0.1
2021-01-09,daily,Tragedy,Cyclone Gulab,0.1
2021-01-09,daily,Tragedy,Cyclone Jawad,0.1
2021-01-09,daily,Politics,Pegasus,0.110424242424242
2021-01-09,daily,Entertainment,Aryan Khan,0.1
2021-01-09,daily,Elections,UP Election,0.313896805896806
2021-01-09,daily,Politics,Bulli Bai app,0.1
2021-01-09,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-09,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-09,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-09,daily,Tragedy,Uttarakhand flood,0.1
2021-01-09,daily,Elections,KMC Election 2021 Results,0.1
2021-01-09,daily,Politics,Panama Papers,0.1
