date,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,coronavirus,Taliban,Air India Divestment,Neeraj Chopra,Raj Kundra,Myanmar coup,NFT,Farmers Protest,Miss Universe,Lakhimpur Kheri,Cyclone Tauktae,Cyclone Yaas,Cyclone Gulab,Cyclone Jawad,Pegasus,Aryan Khan,UP Election,Bulli Bai app,Vaishno Devi stampede,Ayodhya Deepotsav,Assam Mizoram Border Dispute,Uttarakhand flood,KMC Election 2021 Results,Panama Papers,Vijay Hazare Trophy,Novak Djokovic,cryptocurrency,Kumbh Mela,Tokyo Olympics,Delta variant,Jack Dorsey quits,Nagaland Killings,IPL Auction,Pandora Papers,India vs South Africa,Eurocup,COVID Vaccine,Elon Musk,Vicky Kaushal,bajrang Punia,P V Sindhu,Sushil Kumar,Paralympics,IPL,Shershaah,Sooryavanshi,Drishyam 2,Bird Flu,Copa America,Wimbledon,English Premier League
2021-01-11,0.211616161616162,0.1,0.1,0.317424242424242,0.1,0.1,0.1,0.137090909090909,9.71746031746031,0.104444444444444,0.1,0.1,0.1,0.1,0.1,0.612626262626263,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.367151515151515,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.497090909090909,0.256242424242424,0.1,0.1,0.1,0.1,0.32953638953639,0.1,0.277435897435898,0.1,1.38639360639361,4.91043623043623,0.139340659340659,0.1,0.1,0.1,0.1,3.12,0.1,0.146666666666667,0.12,4.20058823529412,0.1,0.1,0.139393939393939
2021-01-12,0.187171717171717,0.1,0.1,0.310757575757576,0.1,0.1,0.1,0.129844532279315,9.69246031746031,0.109444444444444,0.1,0.1,0.1,0.1,0.1,0.776262626262625,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.110424242424242,0.1,0.337902503293808,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.471399209486166,0.274951251646904,0.1,0.1,0.1,0.1,0.318954378954379,0.1,0.164102564102564,0.1,1.51496503496504,4.32472194472195,0.139340659340659,0.1,0.1,0.1,0.1,3.08666666666667,0.1,0.146666666666667,0.12,4.20058823529412,0.1,0.1,0.165770750988142
2021-01-13,0.190808080808081,0.1,0.1,0.376212121212121,0.1,0.1,0.1,0.117095673831826,9.60357142857142,0.107222222222222,0.1,0.1,0.1,0.1,0.1,0.742929292929292,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.111008717310087,0.1,0.328258667677369,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.44107957478297,0.287006046167452,0.1,0.1,0.1,0.1,0.341253229529092,0.1,0.110769230769231,0.1,1.67496503496504,3.53805527805528,0.159340659340659,0.1,0.1,0.1,0.1,3.02,0.1,0.146666666666667,0.12,4.055,0.1,0.1,0.19782554550869
2021-01-14,0.177171717171717,0.1,0.1,0.373939393939394,0.1,0.1,0.1,0.123902200638353,9.06388888888889,0.107222222222222,0.1,0.1,0.1,0.1,0.1,0.724125874125873,0.111636363636364,0.1,0.1,0.1,0.1,0.1,0.101917808219178,0.1,0.300799460218162,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.397163490866886,0.309570148731555,0.1,0.1,0.1,0.1,0.345945311640529,0.1,0.110769230769231,0.1,1.61019230769231,2.64260073260073,0.164340659340659,0.1,0.1,0.1,0.1,2.72857142857143,0.1,0.126666666666667,0.1,3.47166666666667,0.1,0.1,0.180902468585613
2021-01-15,0.172727272727273,0.1,0.1,0.367272727272727,0.1,0.1,0.1,0.124490435932471,9.01388888888889,0.107222222222222,0.1,0.1,0.1,0.1,0.1,0.76048951048951,0.107803921568628,0.1,0.1,0.1,0.1,0.1,0.102506043513296,0.1,0.271565948631709,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.368553865198437,0.381495282421394,0.1,0.1,0.1,0.1,0.373580639275856,0.1,0.102222222222222,0.1,1.7025,2.24809523809524,0.153571428571429,0.1,0.1,0.1,0.1,2.76190476190476,0.1,0.113333333333333,0.1,2.93833333333333,0.1,0.1,0.161508529191674
2021-01-16,0.156363636363636,0.1,0.1,0.372727272727273,0.1,0.1,0.1,0.129842548608527,9.36944444444444,0.105,0.1,0.1,0.1,0.1,0.1,0.677156177156176,0.106470588235294,0.1,0.1,0.1,0.1,0.1,0.102506043513295,0.1,0.342026042528423,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100289855072464,0.343276869893272,0.417852089933131,0.1,0.1,0.1,0.1,0.385009210704428,0.1,0.102222222222222,0.1,2.5825,2.1147619047619,0.153571428571429,0.1,0.1,0.1,0.1,2.76190476190476,0.1,0.126666666666667,0.113333333333333,2.53833333333333,0.1,0.1,0.161508529191674
2021-01-17,0.158585858585859,0.1,0.1,0.357171717171717,0.1,0.1,0.1,0.129562043699691,9.16944444444444,0.1,0.1,0.1,0.1,0.1,0.1,0.506247086247086,0.106470588235294,0.109032258064516,0.1,0.1,0.1,0.1,0.102506043513296,0.1,0.40177358811047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.347951951707204,0.443424787455338,0.1,0.1,0.1,0.1,0.411294924990142,0.1,0.102222222222222,0.1,3.10557692307692,2.02575091575091,0.155769230769231,0.1,0.1,0.1,0.1,2.98857142857143,0.1,0.113333333333333,0.113333333333333,2.23547619047619,0.1,0.1,0.237712362758761
2021-01-18,0.149355089355089,0.1,0.1,0.283325563325563,0.1,0.1,0.1,0.129866457702735,8.76540404040404,0.1,0.1,0.1,0.1,0.1,0.1,0.476247086247086,0.106470588235294,0.109032258064516,0.1,0.1,0.1,0.1,0.100588235294118,0.1,0.430084090393575,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.324938253077067,0.446925548490345,0.1,0.1,0.1,0.1,0.397884963304318,0.1,0.102222222222222,0.1,3.17446581196581,1.72352869352869,0.135769230769231,0.1,0.1,0.1,0.1,2.8802380952381,0.1,0.113333333333333,0.113333333333333,1.89047619047619,0.1,0.1,0.223435346015991
2021-01-19,0.152991452991453,0.1,0.1,0.270598290598291,0.1,0.1,0.1,0.138413466249744,8.45429292929293,0.1,0.1,0.1,0.1,0.1,0.1,0.450606060606061,0.114248366013072,0.109032258064516,0.1,0.1,0.1,0.1,0.100588235294118,0.1,0.455725116034601,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.368955347094161,0.408250334815132,0.1,0.1,0.1,0.1,0.38253457398285,0.1,0.102911877394636,0.1,3.28529914529915,1.48686202686203,0.130769230769231,0.1,0.1,0.1,0.1,3.185,0.1,0.113333333333333,0.113333333333333,1.72797619047619,0.1,0.1,0.255913978494624
2021-01-20,0.149355089355089,0.1,0.1,0.301507381507381,0.1,0.1,0.1,0.140325230955626,7.75429292929293,0.1,0.1,0.1,0.1,0.1,0.1,0.446410256410256,0.107777777777778,0.109032258064516,0.1,0.1,0.1,0.1,0.1,0.1,0.55101923368166,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.407337700035338,0.306779746579837,0.1,0.1,0.1,0.1,0.926053092501368,0.1,0.100689655172414,0.1,3.22279914529915,1.3957905982906,0.130769230769231,0.1,0.1,0.1,0.1,5.40880952380953,0.1,0.113333333333333,0.113333333333333,1.55242063492064,0.1,0.1,0.278413978494624
